"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KRNU5LMQ","journalArticle","2025","Camisón, Álvaro; Monteiro, Pedro; Dorado, F Javier; Sánchez-Bel, Paloma; Leitão, Frederico; Meijón, Mónica; Pinto, Gloria","Choosing the right signaling pathway: hormone responses to Phytophthora cinnamomi during compatible and incompatible interactions with chestnut (Castanea spp.)","Tree physiology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","tpaf016","","3","45","","","","","","","","Oxford University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9JNKRC7","journalArticle","2025","Combes, Matt; Brown, Nathan; Thompson, Robin N; Mastin, Alexander; Crow, Peter; Parnell, Stephen","Unlocking plant health survey data: An approach to quantify the sensitivity and specificity of visual inspections","PLOS Computational Biology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e1012957","","11","21","","","","","","","","Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBCKKT8D","journalArticle","2025","Combes, Matt; Brown, Nathan; Thompson, Robin N; Mastin, Alexander; Crow, Peter; Parnell, Stephen","Unlocking plant health survey data: An approach to quantify the sensitivity and specificity of visual inspections","PLOS Computational Biology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e1012957","","11","21","","","","","","","","Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72L45WHR","journalArticle","2025","Fatulla, Pavel; Imberg, Henrik; Sterner Isaksson, Sofia; Hirsch, Irl B; Mårtensson, Johan; Liljebäck, Hanna; Heise, Tim; Lind, Marcus","Evaluating the Adequacy of Coefficient of Variation and Standard Deviation as Metrics of Glucose Variability in Type 1 Diabetes Based on Data from the GOLD and SILVER Trials","Diabetes Technology & Therapeutics","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","606–612","","8","27","","","","","","","","SAGE Publications Sage CA: Los Angeles, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4XQURU7","journalArticle","2025","Fatulla, Pavel; Imberg, Henrik; Sterner Isaksson, Sofia; Hirsch, Irl B; Mårtensson, Johan; Liljebäck, Hanna; Heise, Tim; Lind, Marcus","Evaluating the Adequacy of Coefficient of Variation and Standard Deviation as Metrics of Glucose Variability in Type 1 Diabetes Based on Data from the GOLD and SILVER Trials","Diabetes Technology & Therapeutics","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","606–612","","8","27","","","","","","","","SAGE Publications Sage CA: Los Angeles, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVNXDKID","journalArticle","2025","Williams, Paul Allen; Roberts, Emily K; Nguyen, Quynh-Anh; Rahmouni, Kamal","Identifying unimodal finite mixture models in data sets using distribution shifting–A novel approach","Results in engineering","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","105393","","","26","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2786STK","journalArticle","2025","Williams, Paul Allen; Roberts, Emily K; Nguyen, Quynh-Anh; Rahmouni, Kamal","Identifying unimodal finite mixture models in data sets using distribution shifting–A novel approach","Results in engineering","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","105393","","","26","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRVWUKTN","journalArticle","2025","Winter, Silvia; Weitzl, Ricarda; Möth, Stefan; Petrović, Božana; Aurelle, Violette; Tolle, Pauline; Costes, Thomas; Richart-Cervera, Sylvie; Rusch, Adrien","Extensive vegetation management and semi-natural habitats increase plant alpha and gamma diversity in European vineyards","Basic and Applied Ecology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","98–108","","","83","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP3IM3FS","journalArticle","2025","Winter, Silvia; Weitzl, Ricarda; Möth, Stefan; Petrović, Božana; Aurelle, Violette; Tolle, Pauline; Costes, Thomas; Richart-Cervera, Sylvie; Rusch, Adrien","Extensive vegetation management and semi-natural habitats increase plant alpha and gamma diversity in European vineyards","Basic and Applied Ecology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","98–108","","","83","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LPSSKXLE","journalArticle","2025","Figueira, Tyler; Frachon, Léa; Schiestl, Florian P","Bumblebee pollination and herbivory alter genomic adaptation of plants to soil","Molecular Ecology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e17811","","13","34","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GYCDEI5","journalArticle","2025","Figueira, Tyler; Frachon, Léa; Schiestl, Florian P","Bumblebee pollination and herbivory alter genomic adaptation of plants to soil","Molecular Ecology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e17811","","13","34","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLJXUWQW","journalArticle","2025","Luna-Zuniga, E; Paz, H; Mendoza-Arroyo, W; Buckley, YM; Del-Val, E","Do native land crabs hinder forest regeneration on Socorro Island?","Journal for Nature Conservation","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","126994","","","87","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9W46SCZX","journalArticle","2025","Luna-Zuniga, E; Paz, H; Mendoza-Arroyo, W; Buckley, YM; Del-Val, E","Do native land crabs hinder forest regeneration on Socorro Island?","Journal for Nature Conservation","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","126994","","","87","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EANEPKXX","journalArticle","2025","Donhauser, Jonathan; Han, Xingguo; Doménech-Pascual, Anna; Jordaan, Karen; Casas-Ruiz, Joan Pere; Stoletov, Georgii; Ramond, Jean-Baptiste; Romaní, Anna M; Frossard, Aline; Priemé, Anders","Cross-continental soil prokaryotic traits driven by precipitation regime and land cover","Communications Earth & Environment","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","","","","","","","","","","","","Nature Publishing Group UK London","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HI3XN4ZP","journalArticle","2025","Donhauser, Jonathan; Han, Xingguo; Doménech-Pascual, Anna; Jordaan, Karen; Casas-Ruiz, Joan Pere; Stoletov, Georgii; Ramond, Jean-Baptiste; Romaní, Anna M; Frossard, Aline; Priemé, Anders","Cross-continental soil prokaryotic traits driven by precipitation regime and land cover","Communications Earth & Environment","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","","","","","","","","","","","","Nature Publishing Group UK London","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPYZ66S3","journalArticle","2025","Calbacho-Rosa, Lucia; Cunningham, Mónica; Cargnelutti, Franco; García, Carlos Fernando; Peretti, Alfredo V","Reproductive investment in spiders: how female condition and oviposition timing influence egg sac quality","Journal of Insect Physiology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","104869","","","","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGZ9SZXW","journalArticle","2025","Calbacho-Rosa, Lucia; Cunningham, Mónica; Cargnelutti, Franco; García, Carlos Fernando; Peretti, Alfredo V","Reproductive investment in spiders: how female condition and oviposition timing influence egg sac quality","Journal of Insect Physiology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","104869","","","","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCQJZKZR","journalArticle","2025","Owen, Caitlin A; Casanovas, Paula; Schattschneider, Jessica; Dick, Grant; Walker, Seumas P; Symonds, Jane E","Comparing blood biochemistry and haematology normal ranges of Chinook salmon (Oncorhynchus tshawytscha) from different production systems","Aquaculture","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","742016","","","598","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCI4USGR","journalArticle","2025","Owen, Caitlin A; Casanovas, Paula; Schattschneider, Jessica; Dick, Grant; Walker, Seumas P; Symonds, Jane E","Comparing blood biochemistry and haematology normal ranges of Chinook salmon (Oncorhynchus tshawytscha) from different production systems","Aquaculture","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","742016","","","598","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGWEHF3C","journalArticle","2025","Ramachandran, Advyth; Iwanaga, Caryn D; Fugate, Michael; Huxley, Jared D; Rose-Person, Annika; Amatya, Rhea; Bui, Thuy-Tien; Spasojevic, Marko J","Litter removal increases plant diversity by promoting both native and exotic forbs in heavily invaded coastal sage scrub in Southern California, USA","Restoration Ecology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e14340","","3","33","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVM3SJEF","journalArticle","2025","Ramachandran, Advyth; Iwanaga, Caryn D; Fugate, Michael; Huxley, Jared D; Rose-Person, Annika; Amatya, Rhea; Bui, Thuy-Tien; Spasojevic, Marko J","Litter removal increases plant diversity by promoting both native and exotic forbs in heavily invaded coastal sage scrub in Southern California, USA","Restoration Ecology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e14340","","3","33","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZJIMLKC","journalArticle","2025","Walden, Nora; Mansion, Guilhem; Schnorf, Hektor; Koch, Marcus A; Guggisberg, Alessia","Murbeckiella is dead, long live Oreophyton: origin and systematics of tribe Oreophytoneae (Brassicaceae)","Annals of Botany","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","mcaf115","","","","","","","","","","","Oxford University Press UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERFEM4YQ","journalArticle","2025","Walden, Nora; Mansion, Guilhem; Schnorf, Hektor; Koch, Marcus A; Guggisberg, Alessia","Murbeckiella is dead, long live Oreophyton: origin and systematics of tribe Oreophytoneae (Brassicaceae)","Annals of Botany","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","mcaf115","","","","","","","","","","","Oxford University Press UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPW354YE","journalArticle","2025","Zhao, Shi; Guo, Zihao; Wang, Kai; Sun, Shengzhi; Sun, Dayu; Wang, Weiming; He, Daihai; Chong, Marc KC; Hao, Yuantao; Yeoh, Eng-Kiong","modelSSE: an R package for characterizing infectious disease superspreading from contact tracing data","Bulletin of Mathematical Biology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","47","","4","87","","","","","","","","Springer Nature BV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K58AP3XR","journalArticle","2025","Zhao, Shi; Guo, Zihao; Wang, Kai; Sun, Shengzhi; Sun, Dayu; Wang, Weiming; He, Daihai; Chong, Marc KC; Hao, Yuantao; Yeoh, Eng-Kiong","modelSSE: an R package for characterizing infectious disease superspreading from contact tracing data","Bulletin of Mathematical Biology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","47","","4","87","","","","","","","","Springer Nature BV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TTIT86J","journalArticle","2025","Fattar, Noor; Louni, Meriem; Buysse, Marie; Floriano, Anna Maria; Bertaux, Joanne; Cantereau, Anne; Rivero, Ana; Bruley, Marjorie; McCoy, Karen D; Delafont, Vincent; others","Evolutionary convergence of nutritional symbionts in ticks","Environmental Microbiology Reports","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e70120","","3","17","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQBGCEDH","journalArticle","2025","Fattar, Noor; Louni, Meriem; Buysse, Marie; Floriano, Anna Maria; Bertaux, Joanne; Cantereau, Anne; Rivero, Ana; Bruley, Marjorie; McCoy, Karen D; Delafont, Vincent; others","Evolutionary convergence of nutritional symbionts in ticks","Environmental Microbiology Reports","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e70120","","3","17","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6C8AGLX","journalArticle","2025","Otieno, Kevin; Chaba, Linda; Omondi, Evans; Odhiambo, Collins; Omolo, Bernard","A Hierarchical Archimedean Copula (HAC) model for climatic variables: an application to Kenyan data","Frontiers in Applied Mathematics and Statistics","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","1585707","","","11","","","","","","","","Frontiers Media SA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZCB325S","journalArticle","2025","Otieno, Kevin; Chaba, Linda; Omondi, Evans; Odhiambo, Collins; Omolo, Bernard","A Hierarchical Archimedean Copula (HAC) model for climatic variables: an application to Kenyan data","Frontiers in Applied Mathematics and Statistics","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","1585707","","","11","","","","","","","","Frontiers Media SA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNSBH5GY","journalArticle","2025","Somsen, Elizabeth D; Septer, Kayla M; Field, Cassandra J; Patel, Devanshi R; Lowen, Anice C; Sutton, Troy C; Koelle, Katia","Quantifying viral pandemic potential from experimental transmission studies","PLoS computational biology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e1013808","","12","21","","","","","","","","Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUQEVTSX","journalArticle","2025","Somsen, Elizabeth D; Septer, Kayla M; Field, Cassandra J; Patel, Devanshi R; Lowen, Anice C; Sutton, Troy C; Koelle, Katia","Quantifying viral pandemic potential from experimental transmission studies","PLoS computational biology","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e1013808","","12","21","","","","","","","","Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLFNXMFN","journalArticle","2025","Oviedo-Diego, M; Mattoni, Camilo Ivan; Palen-Pietri, Rocio; Olivero, Paola Andrea; Peretti, Alfredo Vicente","Communication via female resistance: Sexual behavioural modulation and mutual mate choice determinants in a scorpion","Animal Behaviour","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","122787","","","221","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLK5U4U3","journalArticle","2025","Oviedo-Diego, M; Mattoni, Camilo Ivan; Palen-Pietri, Rocio; Olivero, Paola Andrea; Peretti, Alfredo Vicente","Communication via female resistance: Sexual behavioural modulation and mutual mate choice determinants in a scorpion","Animal Behaviour","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","122787","","","221","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6M4API72","journalArticle","2025","Dunn, Robin; Gangrade, Aditya; Wasserman, Larry; Ramdas, Aaditya","Universal inference meets random projections: a scalable test for log-concavity","Journal of Computational and Graphical Statistics","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","267–279","","1","34","","","","","","","","Taylor & Francis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36DPWEL7","journalArticle","2025","Dunn, Robin; Gangrade, Aditya; Wasserman, Larry; Ramdas, Aaditya","Universal inference meets random projections: a scalable test for log-concavity","Journal of Computational and Graphical Statistics","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","267–279","","1","34","","","","","","","","Taylor & Francis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTCTLSTU","journalArticle","2025","Tang, Xiaofeng; Chang, Chao; Li, Ming","Pyrolysis gas chromatography mass spectrometry (py-GC/MS) revealed independent effects of precipitation and temperature on diversity and molecular composition of soil organic matter","Environmental Earth Sciences","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","164","","6","84","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7C3B74KI","journalArticle","2025","Tang, Xiaofeng; Chang, Chao; Li, Ming","Pyrolysis gas chromatography mass spectrometry (py-GC/MS) revealed independent effects of precipitation and temperature on diversity and molecular composition of soil organic matter","Environmental Earth Sciences","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","164","","6","84","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4QFU5Y2","journalArticle","2025","Dorea, Chang CY; Vila, Roberto; Castro, Cecilia; Leiva, Víctor; Quintino, Felipe S","Revisiting fatigue-life distributions of Birnbaum-Saunders type: Mathematical characterization, simulation study, and applications","Applied Mathematical Modelling","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","116223","","","147","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ZLA42","journalArticle","2025","Dorea, Chang CY; Vila, Roberto; Castro, Cecilia; Leiva, Víctor; Quintino, Felipe S","Revisiting fatigue-life distributions of Birnbaum-Saunders type: Mathematical characterization, simulation study, and applications","Applied Mathematical Modelling","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","116223","","","147","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X86HKXD9","journalArticle","2025","Minnig, Adrian; Gosselin, Véronique Bernier; Griss, Silja; Schüpbach-Regula, Gertraud; Meylan, Mireille; Schnidrig, Guy-Alain; Thomann, Beat","Associations between animal health indicators, antimicrobial use, and antimicrobial resistance on Swiss dairy farms","Preventive Veterinary Medicine","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","106688","","","","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4TDKAB8","journalArticle","2025","Minnig, Adrian; Gosselin, Véronique Bernier; Griss, Silja; Schüpbach-Regula, Gertraud; Meylan, Mireille; Schnidrig, Guy-Alain; Thomann, Beat","Associations between animal health indicators, antimicrobial use, and antimicrobial resistance on Swiss dairy farms","Preventive Veterinary Medicine","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","106688","","","","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JEKM68HU","journalArticle","2025","Hurtado-Pidal, Jorge; Aguayo, Mauricio; Link, Oscar; Valencia, Bryan G; Frances, Felix","Setting priorities for floods mitigation through forest restoration: The threshold elevation hypothesis","Journal of Environmental Management","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","123500","","","373","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJBW2M48","journalArticle","2025","Hurtado-Pidal, Jorge; Aguayo, Mauricio; Link, Oscar; Valencia, Bryan G; Frances, Felix","Setting priorities for floods mitigation through forest restoration: The threshold elevation hypothesis","Journal of Environmental Management","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","123500","","","373","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATD8TIG5","journalArticle","2025","Herbort, Oliver; Krause, Lisa-Marie; Raßbach, Philipp; Kunde, Wilfried","How pointing informs visual search.","Journal of Experimental Psychology: Human Perception and Performance","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","","","","","","","","","","","","American Psychological Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VX5RNHJF","journalArticle","2025","Herbort, Oliver; Krause, Lisa-Marie; Raßbach, Philipp; Kunde, Wilfried","How pointing informs visual search.","Journal of Experimental Psychology: Human Perception and Performance","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","","","","","","","","","","","","American Psychological Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBUAIV65","journalArticle","2025","Cooper, Tamsin M; Green, Lydia; Setyawan, Edy; Erdmann, Mark; Duffy, Clinton AJ; Constantine, Rochelle; Della Penna, Alice","Movement ecology and foraging behaviours of oceanic manta rays Mobula birostris in the coastal waters of Aotearoa, New Zealand","Royal Society Open Science","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","1–16","","12","12","","","","","","","","The Royal Society Publishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSJDLILJ","journalArticle","2025","Cooper, Tamsin M; Green, Lydia; Setyawan, Edy; Erdmann, Mark; Duffy, Clinton AJ; Constantine, Rochelle; Della Penna, Alice","Movement ecology and foraging behaviours of oceanic manta rays Mobula birostris in the coastal waters of Aotearoa, New Zealand","Royal Society Open Science","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","1–16","","12","12","","","","","","","","The Royal Society Publishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XRIIMW4","journalArticle","2025","Gamrath, Gabriela Nadine; von der Lippe, Moritz; Buchholz, Sascha","Fluttering in a changing world: Effects of urbanization and nectar plants on butterfly movement patterns","Ecology and Evolution","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e71785","","8","15","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MJ57CKU","journalArticle","2025","Gamrath, Gabriela Nadine; von der Lippe, Moritz; Buchholz, Sascha","Fluttering in a changing world: Effects of urbanization and nectar plants on butterfly movement patterns","Ecology and Evolution","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","e71785","","8","15","","","","","","","","Wiley Online Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQHWSYLA","journalArticle","2025","Henriques, Valentina; Moyano-Palazuelo, David; Alonso-Pascual, Maria Teresa; Pazos, Manuel; Devos, Damien P; Rivas-Marin, Elena","Verrucomicrobium spinosum essential genome and the divergence of cell division in the PVC superphylum","Iscience","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","","","8","28","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6MPYC2B","journalArticle","2025","Henriques, Valentina; Moyano-Palazuelo, David; Alonso-Pascual, Maria Teresa; Pazos, Manuel; Devos, Damien P; Rivas-Marin, Elena","Verrucomicrobium spinosum essential genome and the divergence of cell division in the PVC superphylum","Iscience","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","","","8","28","","","","","","","","Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8YTVDPD","journalArticle","2025","Nimmo, Victoria; Brar, Gurcharn S; Martin, Adam R; Isaac, Marney E","Interacting effects of crop domestication and soil resources on leaf and root functional traits","Planta","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","75","","4","261","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHS3WKLG","journalArticle","2025","Nimmo, Victoria; Brar, Gurcharn S; Martin, Adam R; Isaac, Marney E","Interacting effects of crop domestication and soil resources on leaf and root functional traits","Planta","","","","","","2025","2026-06-21 20:16:13","2026-06-21 20:16:13","","75","","4","261","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
